QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,MAIN_CAB_LF_END_SCRIBE,RECT_Param,2476.5,558.8,19.05,CLEAF_CARBONE,0,MAIN_CAB_LF_END_SCRIBE,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,MAIN_CAB_RT_END,RECT_Param,2476.5,501.65,19.05,CLEAF_CARBONE,0,MAIN_CAB_RT_END,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,MAIN_CAB_DIVIDER,RECT_Param,1739.9,501.65,19.05,CLEAF_CARBONE,0,MAIN_CAB_DIVIDER,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,UPPER_CAB_DOOR,RECT_Param,1079.5,317.5,19.05,CLEAF_CARBONE,0,UPPER_CAB_DOOR,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,MAIN_CAB_TandB,RECT_Param,917.57,501.65,19.05,CLEAF_CARBONE,0,MAIN_CAB_TandB,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIE_BOTTOM,RECT_Param,917.57,501.65,19.05,CLEAF_CARBONE,0,CUBBIE_BOTTOM,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIE_MIDDLE,RECT_Param,644.52,501.65,19.05,CLEAF_CARBONE,0,CUBBIE_MIDDLE,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIE_TOP,RECT_Param,644.52,501.65,19.05,CLEAF_CARBONE,0,CUBBIE_TOP,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,LOWER_CAB_DRAWER_FRT,RECT_Param,334.96,911.22,19.05,CLEAF_CARBONE,0,LOWER_CAB_DRAWER_FRT,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,MAIN_CAB_SHELF,RECT_Param,254.0,501.65,19.05,CLEAF_CARBONE,0,MAIN_CAB_SHELF,RECTparamCLEAF.bSolid,0,0,0,0,0
