No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,FILLER,1,"99""","3/4""","3/4""","99""","3/4""","3/4""",0.5156 ft²,CLEAF_CARBONE,"","","","","","",""
B,WINDOW_SHELF,2,"98 7/8""","14""","3/4""","98 7/8""","14""","3/4""",9.6128 ft²,CLEAF_CARBONE,"","","","","","",""
C,MAIN_CAB_LF_END_SCRIBE,1,"97 1/2""","22""","3/4""","97 1/2""","22""","3/4""",14.8958 ft²,CLEAF_CARBONE,"","","","","","",""
D,MAIN_CAB_RT_END,1,"97 1/2""","20 15/16""","3/4""","97 1/2""","20 15/16""","3/4""",14.1764 ft²,CLEAF_CARBONE,"","","","","","",""
E,MAIN_CAB_DIVIDER,1,"68 1/2""","20 15/16""","3/4""","68 1/2""","20 15/16""","3/4""",9.9599 ft²,CLEAF_CARBONE,"","","","","","",""
F,UPPER_CAB_DOOR,2,"42 1/2""","12 1/2""","3/4""","42 1/2""","12 1/2""","3/4""",3.6892 ft²,CLEAF_CARBONE,"","","","","","",""
G,FINISHED_TOEKICK_FRT_SCRIBE,1,"36 7/8""","1 1/2""","3/4""","36 7/8""","1 1/2""","3/4""",0.3841 ft²,CLEAF_CARBONE,"","","","","","",""
H,MAIN_CAB_TandB,2,"36 1/8""","20 15/16""","3/4""","36 1/8""","20 15/16""","3/4""",5.2525 ft²,CLEAF_CARBONE,"","","","","","",""
I,CUBBIE_BOTTOM,1,"36 1/8""","20 15/16""","3/4""","36 1/8""","20 15/16""","3/4""",5.2525 ft²,CLEAF_CARBONE,"","","","","","",""
J,CUBBIE_MIDDLE,1,"25 3/8""","20 15/16""","3/4""","25 3/8""","20 15/16""","3/4""",3.2114 ft²,CLEAF_CARBONE,"","","","","","",""
K,CUBBIE_TOP,1,"25 3/8""","20 15/16""","3/4""","25 3/8""","20 15/16""","3/4""",3.6895 ft²,CLEAF_CARBONE,"","","","","","",""
L,LOWER_CAB_DRAWER_FRT,2,"13 3/16""","35 7/8""","3/4""","13 3/16""","35 7/8""","3/4""",3.2854 ft²,CLEAF_CARBONE,"","","","","","",""
M,MAIN_CAB_SHELF,4,"10""","20 15/16""","3/4""","10""","20 15/16""","3/4""",1.4540 ft²,CLEAF_CARBONE,"","","","","","",""
N,TOEKICK_FRTandBCK,2,"1 1/2""","36 1/8""","3/4""","1 1/2""","36 1/8""","3/4""",0.3763 ft²,CLEAF_CARBONE,"","","","","","",""
O,FINISHED_TOEKICK_SIDE_SCRIBE,1,"1 1/2""","21 1/2""","3/4""","1 1/2""","21 1/2""","3/4""",0.2240 ft²,CLEAF_CARBONE,"","","","","","",""
P,TOEKICK_SIDE,2,"1 1/2""","18 3/16""","3/4""","1 1/2""","18 3/16""","3/4""",0.1895 ft²,CLEAF_CARBONE,"","","","","","",""
A,SHELF_BACK,1,"70""","11 1/8""","5/16""","70""","11 1/8""","5/16""",5.4080 ft²,CLEAF_CARBONE,"","","","","","",""
B,CUBBIES_BACK,1,"26 1/2""","25 3/4""","5/16""","26 1/2""","25 3/4""","5/16""",4.7387 ft²,CLEAF_CARBONE,"","","","","","",""
