QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,FILLER,RECTParam,2514.6,19.05,19.05,CLEAF CARBONE,0,FILLER,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,WINDOWSHELF,RECTParam,2511.42,355.6,19.05,CLEAF CARBONE,0,WINDOWSHELF,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,MAINCABLFENDSCRIBE,RECTParam,2476.5,558.8,19.05,CLEAF CARBONE,0,MAINCABLFENDSCRIBE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,MAINCABRTEND,RECTParam,2476.5,531.81,19.05,CLEAF CARBONE,0,MAINCABRTEND,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,MAINCABDIVIDER,RECTParam,1739.9,531.81,19.05,CLEAF CARBONE,0,MAINCABDIVIDER,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,FINISHEDTOEKICKFRTSCRIBE,RECTParam,936.62,38.1,19.05,CLEAF CARBONE,0,FINISHEDTOEKICKFRTSCRIBE,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,MAINCABTandB,RECTParam,917.57,531.81,19.05,CLEAF CARBONE,0,MAINCABTandB,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIEBOTTOM,RECTParam,917.57,531.81,19.05,CLEAF CARBONE,0,CUBBIEBOTTOM,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIEMIDDLE,RECTParam,644.52,531.81,19.05,CLEAF CARBONE,0,CUBBIEMIDDLE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIETOP,RECTParam,644.52,531.81,19.05,CLEAF CARBONE,0,CUBBIETOP,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,MAINCABSHELF,RECTParam,254.0,531.81,19.05,CLEAF CARBONE,0,MAINCABSHELF,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TOEKICKFRTandBCK,RECTParam,38.1,917.57,19.05,CLEAF CARBONE,0,TOEKICKFRTandBCK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,FINISHEDTOEKICKSIDESCRIBE,RECTParam,38.1,546.1,19.05,CLEAF CARBONE,0,FINISHEDTOEKICKSIDESCRIBE,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TOEKICKSIDE,RECTParam,38.1,461.96,19.05,CLEAF CARBONE,0,TOEKICKSIDE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SHELFBACK,RECTParam,1778.0,282.57,7.94,CLEAF CARBONE,0,SHELFBACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CUBBIESBACK,RECTParam,673.1,654.05,7.94,CLEAF CARBONE,0,CUBBIESBACK,RECTparam.bSolid,0,0,0,0,0
