No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,SPACER,2,"24 1/4""","2 1/4""","1 1/4""","22 3/4""","2""","7/8""",,PAINT_GRADE_SOLID,"","","","","","",""
A,TOP,1,"35 1/2""","24 1/4""","3/4""","35 1/2""","24 1/4""","3/4""",5.9832 ft²,CLEAF_ROVERE,"","","","","","",""
B,BACK,1,"34""","32 1/2""","3/4""","34""","32 1/2""","3/4""",7.6721 ft²,CLEAF_ROVERE,"","","","","","",""
C,BOTTOM,1,"34""","22 3/4""","3/4""","34""","22 3/4""","3/4""",5.1917 ft²,CLEAF_ROVERE,"","","","","","",""
D,INTEGRATED_PULL_BTTM,1,"34""","4""","3/4""","34""","4""","3/4""",0.9444 ft²,CLEAF_ROVERE,"","","","","","",""
E,TOEKICK,1,"34""","3""","3/4""","34""","3""","3/4""",0.7083 ft²,CLEAF_ROVERE,"","","","","","",""
F,INTEGRATED_PULL_FACE,1,"34""","1 3/4""","3/4""","34""","1 3/4""","3/4""",0.4132 ft²,CLEAF_ROVERE,"","","","","","",""
G,DRAWER_PNL,1,"33 3/4""","20 11/16""","3/4""","33 3/4""","20 11/16""","3/4""",4.8548 ft²,CLEAF_ROVERE,"","","","","","",""
H,FALSE_FRT,1,"33 3/4""","7 5/8""","3/4""","33 3/4""","7 5/8""","3/4""",1.7943 ft²,CLEAF_ROVERE,"","","","","","",""
I,END,2,"32 1/2""","24 1/4""","3/4""","32 1/2""","24 1/4""","3/4""",5.4765 ft²,CLEAF_ROVERE,"","","","","","",""
