QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
2,biesse,bNest,SPACER,RECT_Param,577.85,50.8,22.22,PAINT_GRADE_SOLID,0,SPACER,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TOP,RECT_Param,901.7,615.95,19.05,CLEAF_ROVERE,0,TOP,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,BACK,RECT_Param,863.6,825.5,19.05,CLEAF_ROVERE,0,BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,BOTTOM,RECT_Param,863.6,577.85,19.05,CLEAF_ROVERE,0,BOTTOM,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,INTEGRATED_PULL_BTTM,RECT_Param,863.6,101.6,19.05,CLEAF_ROVERE,0,INTEGRATED_PULL_BTTM,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TOEKICK,RECT_Param,863.6,76.2,19.05,CLEAF_ROVERE,0,TOEKICK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,INTEGRATED_PULL_FACE,RECT_Param,863.6,44.45,19.05,CLEAF_ROVERE,0,INTEGRATED_PULL_FACE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,DRAWER_PNL,RECT_Param,857.25,525.46,19.05,CLEAF_ROVERE,0,DRAWER_PNL,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,FALSE_FRT,RECT_Param,857.25,193.67,19.05,CLEAF_ROVERE,0,FALSE_FRT,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,END,RECT_Param,825.5,615.95,19.05,CLEAF_ROVERE,0,END,RECTparam.bSolid,0,0,0,0,0
