No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,WALL PNL G,1,91”,38 15/16”,3/4”,91”,38 15/16”,3/4”,0,R_W_O,,,,,,,
B,G+A Toekick,1,76 3/16”,4”,3/4”,76 3/16”,4”,3/4”,0,R_W_O,,,,,,,
C,WALL PNL A,1,91”,37 7/8”,3/4”,91”,37 7/8”,3/4”,0,R_W_O,,,,,,,
D,41.5” HEAD PNL,4,12”,41 1/2”,3/4”,12”,41 1/2”,3/4”,0,R_W_O,,,,,,,
E,WALL PNL B,1,91”,44 1/4”,3/4”,91”,44 1/4”,3/4”,0,R_W_O,,,,,,,
F,WALL PNL B Toekick,1,44 1/4”,4”,3/4”,44 1/4”,4”,3/4”,0,R_W_O,,,,,,,
G,36 1/4” HEAD PNL,2,12”,36 1/4”,3/4”,12”,36 1/4”,3/4”,0,R_W_O,,,,,,,
H,WALL PNL C,1,91”,15 7/8”,3/4”,91”,15 7/8”,3/4”,0,R_W_O,,,,,,,
I,WALL PNL C Toekick,1,15 7/8”,4”,3/4”,15 7/8”,4”,3/4”,0,R_W_O,,,,,,,
J,PNL D,1,91”,51 5/8”,3/4”,91”,51 5/8”,3/4”,0,R_W_O,,,,,,,
K,PNL D Toekick,1,51 5/8”,4”,3/4”,51 5/8”,4”,3/4”,0,R_W_O,,,,,,,
L,PNL E,1,91”,22”,3/4”,91”,22”,3/4”,0,R_W_O,,,,,,,
M,Mirror Toekick,1,35 3/4”,4”,3/4”,35 3/4”,4”,3/4”,0,R_W_O,,,,,,,
N,PNL F,1,91”,8”,3/4”,91”,8”,3/4”,0,R_W_O,,,,,,,
O,H & I PNL - Wing Wall Fronts,2,91”,8”,3/4”,91”,8”,3/4”,0,R_W_O,,,,,,,
P,H & I Toekick - Wing Wall Toekicks,2,8”,4”,3/4”,8”,4”,3/4”,0,R_W_O,,,,,,,
Q,PNL J - Wing Wall Front,1,91”,7 5/8”,3/4”,91”,7 5/8”,3/4”,0,R_W_O,,,,,,,
R,PNL J - Wing Wall Toekicks,1,7 5/8”,4”,3/4”,7 5/8”,4”,3/4”,0,R_W_O,,,,,,,
S,30” PNL’D Soffit,4,15 1/2”,30”,3/4”,15 1/2”,30”,3/4”,0,R_W_O,,,,,,,
T,48” PNL’D Soffit,7,"15 1/2""",48”,3/4”,"15 1/2""",48”,3/4”,0,R_W_O,,,,,,,
U,Concrete Column: Back,1,91”,19”,3/4”,91”,19”,3/4”,0,R_W_O,,,,,,,
V,Concrete Column: Toekick,1,19”,4”,3/4”,19”,4”,3/4”,0,R_W_O,,,,,,,
W,DR,4,29 3/4”,18 5/8”,3/4”,29 3/4”,18 5/8”,3/4”,0,R_W_O,,,,,,,
X,Fillers,2,29 7/8”,2”,3/4”,29 7/8”,2”,3/4”,0,R_W_O,,,,,,,
Y,Ends,2,29 7/8”,17 5/8”,3/4”,29 7/8”,17 5/8”,3/4”,0,R_W_O,,,,,,,
Z,ADA ENDs,2,33 1/8”,17 5/8”,3/4”,33 1/8”,17 5/8”,3/4”,0,R_W_O,,,,,,,
A,Back,1,29 7/8”,37 9/16”,3/4”,29 7/8”,37 9/16”,3/4”,0,R_W_O,,,,,,,
B,ADA BACK,1,33 1/8”,37 9/16”,3/4”,33 1/8”,37 9/16”,3/4”,0,R_W_O,,,,,,,
C,T&B and Adj. Shelf,5,36 1/16”,17 5/8”,3/4”,36 1/16”,17 5/8”,3/4”,0,R_W_O,,,,,,,
D,Non-ADA LF. FRT. Toekick,1,20 1/4”,4”,3/4’,20 1/4”,4”,3/4’,0,R_W_O,,,,,,,
E,Non-ADA RT. FRT. Toekick,1,18 11/16”,4”,3/4’,18 11/16”,4”,3/4’,0,R_W_O,,,,,,,
F,ADA Toekick FRT.,2,18 5/8”,3”,3/4’,18 5/8”,3”,3/4’,0,R_W_O,,,,,,,
G,ADA STUB Toekick FRT.,1,2”,4”,3/4’,2”,4”,3/4’,0,R_W_O,,,,,,,
H,Toekick Frt & Bak,2,37 9/16”,4”,3/4”,37 9/16”,4”,3/4”,0,R_W_O,,,,,,,
I,Toekick JACKS,2,14 1/4”,4”,3/4”,14 1/4”,4”,3/4”,0,R_W_O,,,,,,,
J,FILLER SUPPORT,1,29 7/8”,6 1/8”,3/4”,29 7/8”,6 1/8”,3/4”,0,R_W_O,,,,,,,
K,ADA FILLER SUPPORT,1,33 1/8”,6 1/8”,3/4”,33 1/8”,6 1/8”,3/4”,0,R_W_O,,,,,,,
