No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,KIT_ISLE_2_CAB_4and5_ENDs,4,,,3/4”,30 1/8”,21 7/8”,3/4”,0,VICENZA_OAK,,,,,,,
B,KIT_ISLE_2_CAB_6thru10_ENDs,10,,,3/4”,30 1/8”,18 7/8”,3/4”,,VICENZA_OAK,,,,,,,
C,KIT_ISLE_2_CAB_4_TandB,2,,,3/4”,18 13/16”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
D,KIT_ISLE_2_CAB_5_TandB,2,,,3/4”,18 11/16”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
E,KIT_ISLE_2_CAB_6_TandB,2,,,3/4”,21 1/4”,18 7/8”,3/4”,,VICENZA_OAK,,,,,,,
F,KIT_ISLE_2_CAB_7thru10_TandBs,8,,,3/4”,21 11/16”,18 7/8”,3/4”,,VICENZA_OAK,,,,,,,
G,KIT_ISLE_2_APP_BOX_TOP_CABS_ENDs,4,,,3/4”,16 1/4”,22 3/4”,3/4”,,VICENZA_OAK,,,,,,,
H,KIT_ISLE_2_APP_BOX_LOW_CABS_ENDs,4,,,3/4”,13 7/8”,23 1/8’,3/4”,,VICENZA_OAK,,,,,,,
I,KIT_ISLE_2_APP_BOX_LOW_CABS_TandBs,6,,,3/4”,28 5/8”,23 1/8”,3/4”,,VICENZA_OAK,,,,,,,
J,KIT_ISLE_2_APP_BOX_TOP_CAB_TandBs,4,,,3/4”,28 5/8”,22 3/4”,3/4”,,VICENZA_OAK,,,,,,,
K,KIT_ISLE_3_CABS_11and13_ENDs,4,,,3/4”,30 1/8”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
L,KIT_ISLE_3_CAB_11_TandB,2,,,3/4”,41 1/2”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
M,KIT_ISLE_3_CAB_11_PARTITION,1,,,3/4”,28 5/8”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
N,KIT_ISLE_3_CAB_13_TandB,2,,,3/4”,17 7/8”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
O,KIT_ISLE_3_CAB_12_ENDs,2,,,3/4”,30 1/8”,26 7/8”,3/4”,,VICENZA_OAK,,,,,,,
P,KIT_ISLE_3_CAB_12_TandBs,2,,,3/4”,32 1/2”,26 7/8”,3/4”,,VICENZA_OAK,,,,,,,
Q,KIT_ISLE_3_CAB_12_DECK,1,,,3/4”,32 1/2”,26”,3/4”,,VICENZA_OAK,,,,,,,
R,KIT_ISLE_3_CAB_12_VALANCE,1,,,3/4”,32 1/2”,9 1/2”,3/4”,,VICENZA_OAK,,,,,,,
S,KIT_CABS_14and15_ENDs,4,,,3/4”,30 1/8”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
T,KIT_CABS_14and15_TandBs,4,,,3/4”,25 1/8”,21 7/8”,3/4”,,VICENZA_OAK,,,,,,,
U,KIT_CAB_16_ENDs,2,,,3/4”,64 1/2”,23 5/8”,3/4”,,VICENZA_OAK,,,,,,,
V,KIT_CAB_16_PARTITION,2,,,3/4”,64 1/2”,22 3/4”,3/4”,,VICENZA_OAK,,,,,,,
W,KIT_CAB_16_REMOVABLE_POCKET_PNLS,2,,,3/4”,64 1/4”,22 3/4”,3/4”,,VICENZA_OAK,,,,,,,
X,KIT_CAB_16_TandB,2,,,3/4”,37 3/4”,23 5/8”,3/4”,,VICENZA_OAK,,,,,,,
Y,KIT_CAB_DR_STOP_SHELF,3,,,3/4”,28 3/8”,21 5/8”,3/4”,,VICENZA_OAK,,,,,,,
Z,KIT_CAB_REF_DWRS_ENDs,2,,,3/4”,24 3/4”,24 3/8”,3/4”,,VICENZA_OAK,,,,,,,
AA,KIT_CAB_REF_DWRS_PULLOUT_BTTM,1,,,3/4”,28 3/8”,23 5/8”,3/4”,,VICENZA_OAK,,,,,,,
