QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
4,biesse,bNest,BASE_CAB_DRs,RECT_Param,733.42,611.98,25.4,RIFT_WHT_OAK,0,BASE_CAB_DRs,RECTparam.bSolid,0,0,0,0,0
5,biesse,bNest,UPPER_CAB_DRs,RECT_Param,1200.15,611.98,25.4,RIFT_WHT_OAK,0,UPPER_CAB_DRs,RECTparam.bSolid,0,0,0,0,0
3,biesse,bNest,CAB_DRs,RECT_Param,733.42,571.5,25.4,RIFT_WHT_OAK,0,CAB_DRs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CAB_DRs,RECT_Param,733.42,600.07,25.4,RIFT_WHT_OAK,0,CAB_DRs,RECTparam.bSolid,0,0,0,0,0
6,biesse,bNest,DF,RECT_Param,180.18,622.3,25.4,RIFT_WHT_OAK,0,DF,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CTR_CAB_FIXED_PNL,RECT_Param,2717.8,387.35,25.4,RIFT_WHT_OAK,0,CTR_CAB_FIXED_PNL,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,CTR_CAB_FIXED_PNL,RECT_Param,2717.8,384.17,25.4,RIFT_WHT_OAK,0,CTR_CAB_FIXED_PNL,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_FIXED_PNL,RECT_Param,1306.51,633.41,25.4,RIFT_WHT_OAK,0,CTR_CAB_FIXED_PNL,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_DR,RECT_Param,1408.11,633.41,25.4,RIFT_WHT_OAK,0,CTR_CAB_DR,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,CTR_CAB_DR,RECT_Param,2717.8,633.41,25.4,RIFT_WHT_OAK,0,CTR_CAB_DR,RECTparam.bSolid,0,0,0,0,0
