No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,FIXED_PNL_A_SCRIBE_LF,1,"106 1/2""","15 5/16""",3/4”,"106 1/2""","15 5/16""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_A_SCRIBE_LF,228_GYM,,,,,
B,FIXED_PNL_B_SCRIBE_RT,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_B_SCRIBE_RT,228_GYM,,,,,
C,FIXED_PNL_C,1,"41 1_4""","71 1/4""",3/4”,"41 1/4""","71 1/4""",3/4”,,RIFT WHT OAK,FIXED PNL C,228 GYM,,,,,
D,FIXED_PNL_D_SCRIBE LF,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT WHT OAK,FIXED PNL D  SCRIBE LF,228 GYM,,,,,
E,FIXED_PNL_E_SCRIBE RT,1,"106 1/2""","6 1/4""",3/4”,"106 1/2""","6 1/4""",3/4”,,RIFT WHT OAK,FIXED PNL E  SCRIBE RT,228 GYM,,,,,
F,FIXED_PNL_F_1_4”_REVEAL,1,"106 1/2""","44 31/32""",3/4”,"106 1/2""","44 31/32""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_F_1_4”_REVEAL,228_GYM,,,,,
G,FIXED_PNL_F_MITERED_RETURN_SCRIBE_RT,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_F_MITERED_RETURN_SCRIBE_RT,228_GYM,,,,,
H,FIXED_PNL_G_1_4”_REVEAL,1,"106 1_2""","41 7/8""",3/4”,"106 1/2""","41 7/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_G_1_4”_REVEAL,228_GYM,,,,,
I,FIXED_PNL_G_MITERED_RETURN_SCRIBE_LF,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_G_MITERED_RETURN_SCRIBE_LF,228_GYM,,,,,
J,FIXED_PNL_H,1,"106 1/2""","11 5/8""",3/4”,"106 1/2""","11 5/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H,228_GYM,,,,,
K,FIXED_PNL_H_RT_MITERED_RETURN_SCRIBE_RT,1,"106 1/2""","18 1/4""",3/4”,"106 1/2""","18 1/4""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H_RT_MITERED_RETURN_SCRIBE_RT,228_GYM,,,,,
L,FIXED_PNL_H_LF_MITERED_RETURN_1_4”_REVEAL,1,"106 1/2""","25 3/8""",3/4”,"106 1/2""","25 3/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H_LF_MITERED_RETURN_1/4”_REVEAL,228_GYM,,,,,
