No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,FIXED_PNL_A_SCRIBE_LF,1,"106 1/2""","15 5/16""",3/4”,"106 1/2""","15 5/16""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_A_SCRIBE_LF,228_GYM,,,,,
B,FIXED_PNL_B _SCRIBE_RT,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_B _SCRIBE_RT,228_GYM,,,,,
C,FIXED_PNL_C,1,"41 1/4""","71 1/4""",3/4”,"41 1/4""","71 1/4""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_C,228_GYM,,,,,
D,FIXED_PNL_D_SCRIBE_LF,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_D_SCRIBE_LF,228_GYM,,,,,
E,FIXED_PNL_E_SCRIBE_RT,1,"106 1/2""","6 1/4""",3/4”,"106 1/2""","6 1/4""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_E_SCRIBE_RT,228_GYM,,,,,
F,FIXED_PNL_F_ONE_QUARTER_REVEAL,1,"106 1/2""","44 31/32""",3/4”,"106 1/2""","44 31/32""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_F_ONE_QUARTER_REVEAL,228_GYM,,,,,
G,FIXED_PNL_F_MITERED_RETURN_SCRIBE_RT,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_F_MITERED_RETURN_SCRIBE_RT,228_GYM,,,,,
H,FIXED_PNL_G_ONE_QUARTER_REVEAL,1,"106 1/2""","41 7/8""",3/4”,"106 1/2""","41 7/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_G_ONE_QUARTER_REVEAL,228_GYM,,,,,
I,FIXED_PNL_G_MITERED_RETURN_SCRIBE_LF,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_G_MITERED_RETURN_SCRIBE_LF,228_GYM,,,,,
J,FIXED_PNL_H,1,"106 1/2""","11 5/8""",3/4”,"106 1/2""","11 5/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H,228_GYM,,,,,
K,FIXED_PNL_H_RT_MITERED_RETURN_SCRIBE RT,1,"106 1/2""","18 1/4""",3/4”,"106 1/2""","18 1/4""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H_RT_MITERED_RETURN_SCRIBE RT,228_GYM,,,,,
L,FIXED_PNL_H_LF_MITERED_RETURN _ONE_QUARTER_REVEAL,1,"106 1/2""","25 3/8""",3/4”,"106 1/2""","25 3/8""",3/4”,,RIFT_WHT_OAK,FIXED_PNL_H_LF_MITERED_RETURN _ONE_QUARTER_REVEAL,228_GYM,,,,,
PP,CTR_CAB_BACKs,3,"31 1/4""","31 27/32""",3/4”,"31 1/4""","31 27/32""",3/4”,,RIFT_WHT_OAK,CTR_CAB_BACKs,116_WINE_RM,,,,,
QQ,CTR_CAB_ENDs,6,"31 1/4""","22 1/2""",3/4”,"31 1/4""","22 1/2""",3/4”,,RIFT_WHT_OAK,CTR_CAB_ENDs,116_WINE_RM,,,,,
RR,CTR_CAB_TOPs,3,"30 11/32""","22 1/2""",3/4”,"30 11/32""","22 1/2""",3/4”,,RIFT_WHT_OAK,CTR_CAB_TOPs,116_WINE_RM,,,,,
SS,SIDE_CAB_BACKs,4,"71 3/4""","27 3/4""",3/4”,"71 3/4""","27 3/4""",3/4”,,RIFT_WHT_OAK,SIDE_CAB_BACK,116_WINE_RM,,,,,
TT,SIDE_CAB_BACKs,2,"71 3/4""","26 1/4""",3/4”,"71 3/4""","26 1/4""",3/4”,,RIFT_WHT_OAK,SIDE_CAB_BACK,116_WINE_RM,,,,,
