No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,BASE_CAB_ENDs,8,"29""","23 1/2""",3/4”,"29""","23 1/2""",3/4”,,VICENZA_OAK,BASE_CAB_ENDs,228_GYM,,,,,
B,BASE_CAB_TandBs,2,"22 21/32""","23 1/2""",3/4”,"22 21/32""","23 1/2""",3/4”,,VICENZA_OAK,BASE_CAB_TandBs,228_GYM,,,,,
C,BASE_CAB_TandBs,6,"22 23/32""","23 1/2""",3/4”,"22 23/32""","23 1/2""",3/4”,,VICENZA_OAK,BASE_CAB_TandBs,228_GYM,,,,,
D,BASE_CAB_TandBs,3,"22 25/32""","23 1/2""",3/4”,"22 25/32""","23 1/2""",3/4”,,VICENZA_OAK,BASE_CAB_TandBs,228_GYM,,,,,
E,BASE_CAB_TandBs,1,"21 3/32""","23 1/2""",3/4”,"21 3/32""","23 1/2""",3/4”,,VICENZA_OAK,BASE_CAB_TandBs,228_GYM,,,,,
F,UPPER_CAB_ENDs,10,"47 1/4""","14 3/8""",3/4”,"47 1/4""","14 3/8""",3/4”,,VICENZA_OAK,UPPER_CAB_ENDs,228_GYM,,,,,
G,UPPER_CAB_TandBs,3,"22 21/32""","14 3/8""",3/4”,"22 21/32""","14 3/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
H,UPPER_CAB_TandBs,1,"22 21/32""","11 1/8""",3/4”,"22 21/32""","11 1/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
I,UPPER_CAB_TandBs,1,"22 21/32""","11 7/8""",3/4”,"22 21/32""","11 7/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
J,UPPER_CAB_TandBs,6,"22 23/32""","14 3/8""",3/4”,"22 23/32""","14 3/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
K,UPPER_CAB_TandBs,2,"22 23/32""","11 1/8""",3/4”,"22 23/32""","11 1/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
L,UPPER_CAB_TandBs,2,"22 23/32""","11 7/8""",3/4”,"22 23/32""","11 7/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
M,UPPER_CAB_TandBs,3,"22 25/32""","14 3/8""",3/4”,"22 25/32""","14 3/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
N,UPPER_CAB_TandBs,1,"22 25/32""","11 1/8""",3/4”,"22 25/32""","11 1/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
O,UPPER_CAB_TandBs,1,"22 25/32""","11 7/8""",3/4”,"22 25/32""","11 7/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
P,UPPER_CAB_TandBs,3,"22 19/32""","14 3/8""",3/4”,"22 19/32""","14 3/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
Q,UPPER_CAB_TandBs,1,"22 19/32""","11 1/8""",3/4”,"22 19/32""","11 1/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
R,UPPER_CAB_TandBs,1,"22 19/32""","11 7/8""",3/4”,"22 19/32""","11 7/8""",3/4”,,VICENZA_OAK,UPPER_CAB_TandBs,228_GYM,,,,,
S,CAB_ENDs,8,"29""","22 1/8""",3/4”,"29""","22 1/8""",3/4”,,VICENZA_OAK,CAB_ENDs,221_LOUNGE,,,,,
T,CAB_TandBs,3,"21 1/16""","22 1/8""",3/4”,"21 1/16""","22 1/8""",3/4”,,VICENZA_OAK,CAB_TandBs,221_LOUNGE,,,,,
U,CAB_TandBs,5,"21 1/8""","22 1/8""",3/4”,"21 1/8""","22 1/8""",3/4”,,VICENZA_OAK,CAB_TandBs,221_LOUNGE,,,,,
V,CAB_TandBs,2,"22 5/16""","22 1/8""",3/4”,"22 5/16""","22 1/8""",3/4”,,VICENZA_OAK,CAB_TandBs,221_LOUNGE,,,,,
W,CTR_CAB_TALL_ENDs,4,"107""","21 1/8""",3/4”,"107""","21 1/8""",3/4”,,VICENZA_OAK,CTR_CAB_TALL_ENDs,226_LIBRARY,,,,,
X,CTR_CAB_LOWER_ENDs,4,"47 1/4""","21 1/8""",3/4”,"47 1/4""","21 1/8""",3/4”,,VICENZA_OAK,CTR_CAB_LOWER_ENDs,226_LIBRARY,,,,,
Y,CTR_CAB_UPPER_ENDs,4,"55 1/4""","21 1/8""",3/4”,"55 1/4""","21 1/8""",3/4”,,VICENZA_OAK,CTR_CAB_UPPER_ENDs,226_LIBRARY,,,,,
Z,CTR_CAB_TandB_SHELF,24,"23 5/8""","21 1/8""",3/4”,"23 5/8""","21 1/8""",3/4”,,VICENZA_OAK,CTR_CAB_TandB_SHELF,226_LIBRARY,,,,,
