QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,BTTM_SHELF_TOP,RECT_Param,2386.01,330.2,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,BTTM_SHELF_TOP,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,BTTM_SHELF_FRT,RECT_Param,2327.28,50.8,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,BTTM_SHELF_FRT,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,BTTM_OF_DR_CAB_2and4,RECT_Param,530.23,152.4,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,BTTM_OF_DR_CAB_2and4,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TOP_OF_DR_CAB_2and4,RECT_Param,530.23,150.81,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,TOP_OF_DR_CAB_2and4,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,FIXED_FRT_CAB_2and4,RECT_Param,530.23,150.81,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,FIXED_FRT_CAB_2and4,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,BTTM_DWR_FRT_CAB_3,RECT_Param,403.22,152.4,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,BTTM_DWR_FRT_CAB_3,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,MID_DWR_FRT_CAB_3,RECT_Param,403.22,150.81,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,MID_DWR_FRT_CAB_3,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TOP_DWR_FRT_CAB_3,RECT_Param,403.22,150.81,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,TOP_DWR_FRT_CAB_3,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,BTTM_DWR_FRT_CAB_1and5,RECT_Param,392.11,152.4,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,BTTM_DWR_FRT_CAB_1and5,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,MID_DWR_FRT_CAB_1and5,RECT_Param,392.11,150.81,19.05,MDF_HIGH_POLISH_POLYURETHANE_FINISH,0,MID_DWR_FRT_CAB_1and5,RECTparam.bSolid,0,0,0,0,0
