QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
4,biesse,bNest,KIT_ISLE_2_CAB_4and5_ENDs,RECT_Param,765.17,555.62,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_4and5_ENDs,RECTparam.bSolid,0,0,0,0,0
10,biesse,bNest,KIT_ISLE_2_CAB_6thru10_ENDs,RECT_Param,765.17,479.42,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_6thru10_ENDs,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,KIT_ISLE_2_CAB_4_TandB,RECT_Param,477.84,555.62,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_4_TandB,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,KIT_ISLE_2_CAB_5_TandB,RECT_Param,474.66,555.62,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_5_TandB,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,KIT_ISLE_2_CAB_6_TandB,RECT_Param,539.75,479.42,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_6_TandB,RECTparam.bSolid,0,0,0,0,0
8,biesse,bNest,KIT_ISLE_2_CAB_7thru10_TandBs,RECT_Param,550.86,479.42,19.05,VICENZA_OAK,0,KIT_ISLE_2_CAB_7thru10_TandBs,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,KIT_ISLE_2_APP_BOX_TOP_CABS_ENDs,RECT_Param,412.75,577.85,19.05,VICENZA_OAK,0,KIT_ISLE_2_APP_BOX_TOP_CABS_ENDs,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,KIT_ISLE_2_APP_BOX_LOW_CABS_ENDs,RECT_Param,352.42,587.38,19.05,VICENZA_OAK,0,KIT_ISLE_2_APP_BOX_LOW_CABS_ENDs,RECTparam.bSolid,0,0,0,0,0
6,biesse,bNest,KIT_ISLE_2_APP_BOX_LOW_CABS_TandBs,RECT_Param,727.07,587.38,19.05,VICENZA_OAK,0,KIT_ISLE_2_APP_BOX_LOW_CABS_TandBs,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,KIT_ISLE_2_APP_BOX_TOP_CAB_TandBs,RECT_Param,727.07,577.85,19.05,VICENZA_OAK,0,KIT_ISLE_2_APP_BOX_TOP_CAB_TandBs,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,KIT_ISLE_3_CABS_11and13_ENDs,RECT_Param,765.17,555.62,19.05,VICENZA_OAK,0,KIT_ISLE_3_CABS_11and13_ENDs,RECTparam.bSolid,0,0,0,0,0
