No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,BASE_CAB_ENDs,8,"29""","23 1/2""",3/4”,"29""","23 1/2""",3/4”,,VICENZA OAK,BASE_CAB_ENDs,228 GYM,,,,,
B,BASE_CAB_TandBs,2,"22 21/32""","23 1/2""",3/4”,"22 21/32""","23 1/2""",3/4”,,VICENZA OAK,BASE_CAB_TandBs,228 GYM,,,,,
C,BASE_CAB_TandBs,6,"22 23/32""","23 1/2""",3/4”,"22 23/32""","23 1/2""",3/4”,,VICENZA OAK,BASE_CAB_TandBs,228 GYM,,,,,
D,BASE_CAB_TandBs ,3,"22 25/32""","23 1/2""",3/4”,"22 25/32""","23 1/2""",3/4”,,VICENZA OAK,BASE_CAB_TandBs ,228 GYM,,,,,
E,BASE_CAB_TandBs,1,"21 3/32""","23 1/2""",3/4”,"21 3/32""","23 1/2""",3/4”,,VICENZA OAK,BASE_CAB_TandBs,228 GYM,,,,,
F,UPPER CAB END’s,10,"47 1/4""","14 3/8""",3/4”,"47 1/4""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB END’s,228 GYM,,,,,
G,UPPER_CAB_TandBs,3,"22 21/32""","14 3/8""",3/4”,"22 21/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
H,UPPER_CAB_TandBs,1,"22 21/32""","11 1/8""",3/4”,"22 21/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
I,UPPER_CAB_TandBs,1,"22 21/32""","11 7/8""",3/4”,"22 21/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
J,UPPER_CAB_TandBs,6,"22 23/32""","14 3/8""",3/4”,"22 23/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
K,UPPER_CAB_TandBs,2,"22 23/32""","11 1/8""",3/4”,"22 23/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
L,UPPER_CAB_TandBs,2,"22 23/32""","11 7/8""",3/4”,"22 23/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
M,UPPER_CAB_TandBs,3,"22 25/32""","14 3/8""",3/4”,"22 25/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
N,UPPER_CAB_TandBs,1,"22 25/32""","11 1/8""",3/4”,"22 25/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
O,UPPER_CAB_TandBs,1,"22 25/32""","11 7/8""",3/4”,"22 25/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
P,UPPER_CAB_TandBs,3,"22 19/32""","14 3/8""",3/4”,"22 19/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
Q,UPPER_CAB_TandBs,1,"22 19/32""","11 1/8""",3/4”,"22 19/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
R,UPPER_CAB_TandBs,1,"22 19/32""","11 7/8""",3/4”,"22 19/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER_CAB_TandBs,228 GYM,,,,,
