No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,TALL_CAB_UPPER_BOX_END,2,"38 1/2""","19 7/8""","3/4""","38 1/2""","19 7/8""","3/4""",5.3138 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
B,SHORT_CAB_SINK_BOX_TandB,2,"34 1/2""","19 5/8""","3/4""","34 1/2""","19 5/8""","3/4""",4.7018 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
C,SINK_VALANCE,1,"34 1/2""","6""","3/4""","34 1/2""","6""","3/4""",1.4375 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
D,TALL_CAB_LOWER_BOX_END,2,"21 3/4""","19 7/8""","3/4""","21 3/4""","19 7/8""","3/4""",3.0020 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
E,SHORT_CAB_PARTITION,4,"21""","19 5/8""","3/4""","21""","19 5/8""","3/4""",2.8620 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
F,TALL_CAB_COUNTER_BOX_TandB,2,"19 3/8""","19 7/8""","3/4""","19 3/8""","19 7/8""","3/4""",2.6742 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
G,TALL_CAB_BOXES_TandB_AND_SHELF,8,"17 7/8""","19 7/8""","3/4""","17 7/8""","19 7/8""","3/4""",2.4671 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
H,TALL_CAB_COUNTER_BOX_LF_SIDE,1,"14 3/4""","19 7/8""","3/4""","14 3/4""","19 7/8""","3/4""",2.0358 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
I,TALL_CAB_COUNTER_BOX_NICHE_BACK,1,"14 3/4""","19 7/8""","3/4""","14 3/4""","19 7/8""","3/4""",2.0358 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
J,TALL_CAB_COUNTER_BOX_NICHE_LF_SIDE,1,"14 3/4""","6 3/4""","3/4""","14 3/4""","6 3/4""","3/4""",0.6914 ft²,MAPLE_PLY,"",MAT: MAPLE PLY,"","","","",""
