QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
2,biesse,bNest,TALL_CAB_UPPER_BOX_END,RECT_Param,977.9,504.82,19.05,MAPLE_PLY,0,TALL_CAB_UPPER_BOX_END,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,SHORT_CAB_SINK_BOX_TandB,RECT_Param,876.3,498.47,19.05,MAPLE_PLY,0,SHORT_CAB_SINK_BOX_TandB,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SINK_VALANCE,RECT_Param,876.3,152.4,19.05,MAPLE_PLY,0,SINK_VALANCE,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TALL_CAB_LOWER_BOX_END,RECT_Param,552.45,504.82,19.05,MAPLE_PLY,0,TALL_CAB_LOWER_BOX_END,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,SHORT_CAB_PARTITION,RECT_Param,533.4,498.47,19.05,MAPLE_PLY,0,SHORT_CAB_PARTITION,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TALL_CAB_COUNTER_BOX_TandB,RECT_Param,492.12,504.82,19.05,MAPLE_PLY,0,TALL_CAB_COUNTER_BOX_TandB,RECTparam.bSolid,0,0,0,0,0
8,biesse,bNest,TALL_CAB_BOXES_TandB_AND_SHELF,RECT_Param,454.02,504.82,19.05,MAPLE_PLY,0,TALL_CAB_BOXES_TandB_AND_SHELF,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_COUNTER_BOX_LF_SIDE,RECT_Param,374.65,504.82,19.05,MAPLE_PLY,0,TALL_CAB_COUNTER_BOX_LF_SIDE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_COUNTER_BOX_NICHE_BACK,RECT_Param,374.65,504.82,19.05,MAPLE_PLY,0,TALL_CAB_COUNTER_BOX_NICHE_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_COUNTER_BOX_NICHE_LF_SIDE,RECT_Param,374.65,171.45,19.05,MAPLE_PLY,0,TALL_CAB_COUNTER_BOX_NICHE_LF_SIDE,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,SHORT_CAB_DWR_BOX_TandB,RECT_Param,349.25,498.47,19.05,MAPLE_PLY,0,SHORT_CAB_DWR_BOX_TandB,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SINK_CAB_BACK,RECT_Param,914.4,533.4,12.7,MAPLE_PLY,0,SINK_CAB_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SHORT_CAB_DWR_CAB_BACK,RECT_Param,533.4,387.35,12.7,MAPLE_PLY,0,SHORT_CAB_DWR_CAB_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_UPPER_BOX_BACK,RECT_Param,977.9,492.12,6.35,MAPLE_PLY,0,TALL_CAB_UPPER_BOX_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_LOWER_BOX_BACK,RECT_Param,552.45,492.12,6.35,MAPLE_PLY,0,TALL_CAB_LOWER_BOX_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_COUNTER_BOX_BACK,RECT_Param,412.75,492.12,6.35,MAPLE_PLY,0,TALL_CAB_COUNTER_BOX_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SHORT_CAB_TOP,RECT_Param,1301.75,533.4,19.05,MDF_CARD_RM_GRN,0,SHORT_CAB_TOP,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_RT_SIDE_SCRIBE_1_INCH,RECT_Param,1981.2,558.8,19.05,MDF_CARD_RM_GRN,0,TALL_CAB_RT_SIDE_SCRIBE_1_INCH,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_LF_END,RECT_Param,1981.2,533.4,19.05,MDF_CARD_RM_GRN,0,TALL_CAB_LF_END,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_TOP_DR,RECT_Param,1385.89,485.77,19.05,MDF_CARD_RM_GRN,0,TALL_CAB_TOP_DR,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,SHORT_CAB_BASE_SUPPORT,RECT_Param,1301.75,76.2,19.05,MDF_CARD_RM_GRN,0,SHORT_CAB_BASE_SUPPORT,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SHORT_CAB_END_PNL_SCRIBE_1_INCH,RECT_Param,571.5,558.8,19.05,MDF_CARD_RM_GRN,0,SHORT_CAB_END_PNL_SCRIBE_1_INCH,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_BTTM_DR,RECT_Param,547.69,485.77,19.05,MDF_CARD_RM_GRN,0,TALL_CAB_BTTM_DR,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,TALL_CAB_TandB,RECT_Param,533.4,492.12,19.05,MDF_CARD_RM_GRN,0,TALL_CAB_TandB,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,SHORT_CAB_DR,RECT_Param,527.05,454.02,19.05,MDF_CARD_RM_GRN,0,SHORT_CAB_DR,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,STONE_NICHE_BACK,RECT_Param,438.15,336.55,19.05,MDF_CARD_RM_GRN,0,STONE_NICHE_BACK,RECTparam.bSolid,0,0,0,0,0
4,biesse,bNest,SHORT_CAB_DF,RECT_Param,382.59,128.59,19.05,MDF_CARD_RM_GRN,0,SHORT_CAB_DF,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,NICHE_SIDE,RECT_Param,336.55,152.4,19.05,MDF_CARD_RM_GRN,0,NICHE_SIDE,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_BACK,RECT_Param,1981.2,511.17,12.7,MDF_CARD_RM_GRN,0,TALL_CAB_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,"TALL_CAB_FILLER_1""_SCRIBE",RECT_Param,1981.2,19.05,12.7,MDF_CARD_RM_GRN,0,"TALL_CAB_FILLER_1""_SCRIBE",RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,SHORT_CAB_BACK,RECT_Param,1301.75,571.5,12.7,MDF_CARD_RM_GRN,0,SHORT_CAB_BACK,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_RIGHT_END_PNL,RECT_Param,1016.0,463.55,12.7,MDF_CARD_RM_GRN,0,TALL_CAB_RIGHT_END_PNL,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,ROUGH_TOP_FOR_STONE,RECT_Param,1466.85,558.8,19.05,SHOP PLY,0,ROUGH_TOP_FOR_STONE,RECTparam.bSolid,0,0,0,0,0
2,biesse,bNest,SHORT_CAB_CLEATS,RECT_Param,1301.75,101.6,12.7,SHOP PLY,0,SHORT_CAB_CLEATS,RECTparam.bSolid,0,0,0,0,0
3,biesse,bNest,TALL_CAB_CLEATS,RECT_Param,511.17,101.6,12.7,SHOP PLY,0,TALL_CAB_CLEATS,RECTparam.bSolid,0,0,0,0,0
1,biesse,bNest,TALL_CAB_COUNTER_BOX_NICHE_RT_SIDE,RECT_Param,374.65,152.4,9.52,SHOP PLY,0,TALL_CAB_COUNTER_BOX_NICHE_RT_SIDE,RECTparam.bSolid,0,0,0,0,0
