No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,WALL_PNL_G,1,91”,38 15/16”,3/4”,91”,38 15/16”,3/4”,0,R_W_O,,,,,,,
B,GandA_Toekick,1,76 3/16”,4”,3/4”,76 3/16”,4”,3/4”,0,R_W_O,,,,,,,
C,WALL_PNL_A,1,91”,37 7/8”,3/4”,91”,37 7/8”,3/4”,0,R_W_O,,,,,,,
D,41_AND_HALF_HEAD_PNL,4,12”,41 1/2”,3/4”,12”,41 1/2”,3/4”,0,R_W_O,,,,,,,
E,WALL_PNL_B,1,91”,44 1/4”,3/4”,91”,44 1/4”,3/4”,0,R_W_O,,,,,,,
F,WALL_PNL_B_Toekick,1,44 1/4”,4”,3/4”,44 1/4”,4”,3/4”,0,R_W_O,,,,,,,
G,36_AND_QUARTER_HEAD_PNL,2,12”,36 1/4”,3/4”,12”,36 1/4”,3/4”,0,R_W_O,,,,,,,
H,WALL_PNL_C,1,91”,15 7/8”,3/4”,91”,15 7/8”,3/4”,0,R_W_O,,,,,,,
I,WALL_PNL_C_Toekick,1,15 7/8”,4”,3/4”,15 7/8”,4”,3/4”,0,R_W_O,,,,,,,
J,PNL_D,2,91,25 13/16",,3/4”,91”,51 5/8”,3/4”,0,R_W_O,,,,,,,
K,PNL_D_Toekick,1,51 5/8”,4”,3/4”,51 5/8”,4”,3/4”,0,R_W_O,,,,,,,
L,PNL_E,1,91”,22”,3/4”,91”,22”,3/4”,0,R_W_O,,,,,,,
M,Mirror_Toekick,1,35 3/4”,4”,3/4”,35 3/4”,4”,3/4”,0,R_W_O,,,,,,,
N,PNL_F,1,91”,8”,3/4”,91”,8”,3/4”,0,R_W_O,,,,,,,
O,H_I_PNL_Wing_Wall_Fronts,2,91”,8”,3/4”,91”,8”,3/4”,0,R_W_O,,,,,,,
P,H_I_Toekick_Wing_Wall_Toekicks,2,8”,4”,3/4”,8”,4”,3/4”,0,R_W_O,,,,,,,
Q,PNL_J_Wing_Wall_Front,1,91”,7 5/8”,3/4”,91”,7 5/8”,3/4”,0,R_W_O,,,,,,,
R,PNL_J_Wing_Wall_Toekicks,1,7 5/8”,4”,3/4”,7 5/8”,4”,3/4”,0,R_W_O,,,,,,,
S,30_PNLD_Soffit,4,15 1/2”,30”,3/4”,15 1/2”,30”,3/4”,0,R_W_O,,,,,,,
T,48_PNL_D_Soffit,7,"15 1/2""",48”,3/4”,"15 1/2""",48”,3/4”,0,R_W_O,,,,,,,
U,Concrete_Column_Back,1,91”,19”,3/4”,91”,19”,3/4”,0,R_W_O,,,,,,,
V,Concrete_Column_Toekick,1,19”,4”,3/4”,19”,4”,3/4”,0,R_W_O,,,,,,,
W,DR,4,29 3/4”,18 5/8”,3/4”,29 3/4”,18 5/8”,3/4”,0,R_W_O,,,,,,,
X,Fillers,2,29 7/8”,2”,3/4”,29 7/8”,2”,3/4”,0,R_W_O,,,,,,,
Y,Ends,2,29 7/8”,17 5/8”,3/4”,29 7/8”,17 5/8”,3/4”,0,R_W_O,,,,,,,
Z,ADA_ENDs,2,33 1/8”,17 5/8”,3/4”,33 1/8”,17 5/8”,3/4”,0,R_W_O,,,,,,,
A,Back,1,29 7/8”,37 9/16”,3/4”,29 7/8”,37 9/16”,3/4”,0,R_W_O,,,,,,,
B,ADA_BACK,1,33 1/8”,37 9/16”,3/4”,33 1/8”,37 9/16”,3/4”,0,R_W_O,,,,,,,
C,T_B_and_Adj_Shelf,5,36 1/16”,17 5/8”,3/4”,36 1/16”,17 5/8”,3/4”,0,R_W_O,,,,,,,
D,Non_ADA_LF_FRT_Toekick,1,20 1/4”,4”,3/4’,20 1/4”,4”,3/4’,0,R_W_O,,,,,,,
E,Non_ADA_RT_FRT_Toekick,1,18 11/16”,4”,3/4’,18 11/16”,4”,3/4’,0,R_W_O,,,,,,,
F,ADA_Toekick_FRT,2,18 5/8”,3”,3/4’,18 5/8”,3”,3/4’,0,R_W_O,,,,,,,
G,ADA_STUB_Toekick_FRT,1,2”,4”,3/4’,2”,4”,3/4’,0,R_W_O,,,,,,,
H,Toekick_Frt_Back,2,37 9/16”,4”,3/4”,37 9/16”,4”,3/4”,0,R_W_O,,,,,,,
I,Toekick_JACKS,2,14 1/4”,4”,3/4”,14 1/4”,4”,3/4”,0,R_W_O,,,,,,,
J,FILLER_SUPPORT,1,29 7/8”,6 1/8”,3/4”,29 7/8”,6 1/8”,3/4”,0,R_W_O,,,,,,,
K,ADA_FILLER_SUPPORT,1,33 1/8”,6 1/8”,3/4”,33 1/8”,6 1/8”,3/4”,0,R_W_O,,,,,,,
