QTY,CustomerName,JobOrder,Name,DESC,LENGTH,WIDTH,THICK,WoodType,Grain,LabelImage,ProgramName,RotationStep,ProgramParameters,AdditionalMargin,Priority,OverProduction
1,biesse,bNest,WALL PNL G,RECT_Param,2311.4,989.01,19.05,R_W_O,0,WALL PNL G,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,G+A Toekick,RECT_Param,1935.16,101.6,19.05,R_W_O,0,G+A Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL PNL A,RECT_Param,2311.4,962.02,19.05,R_W_O,0,WALL PNL A,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,41.5” HEAD PNL,RECT_Param,304.8,1054.1,19.05,R_W_O,0,41.5” HEAD PNL,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL PNL B,RECT_Param,2311.4,1123.95,19.05,R_W_O,0,WALL PNL B,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL PNL B Toekick,RECT_Param,1123.95,101.6,19.05,R_W_O,0,WALL PNL B Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,36 1/4” HEAD PNL,RECT_Param,304.8,920.75,19.05,R_W_O,0,36 1/4” HEAD PNL,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL PNL C,RECT_Param,2311.4,403.22,19.05,R_W_O,0,WALL PNL C,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,WALL PNL C Toekick,RECT_Param,403.22,101.6,19.05,R_W_O,0,WALL PNL C Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL D,RECT_Param,2311.4,1311.27,19.05,R_W_O,0,PNL D,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL D Toekick,RECT_Param,1311.27,101.6,19.05,R_W_O,0,PNL D Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL E,RECT_Param,2311.4,558.8,19.05,R_W_O,0,PNL E,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Mirror Toekick,RECT_Param,908.05,101.6,19.05,R_W_O,0,Mirror Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL F,RECT_Param,2311.4,203.2,19.05,R_W_O,0,PNL F,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,H & I PNL - Wing Wall Fronts,RECT_Param,2311.4,203.2,19.05,R_W_O,0,H & I PNL - Wing Wall Fronts,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,H & I Toekick - Wing Wall Toekicks,RECT_Param,203.2,101.6,19.05,R_W_O,0,H & I Toekick - Wing Wall Toekicks,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL J - Wing Wall Front,RECT_Param,2311.4,193.67,19.05,R_W_O,0,PNL J - Wing Wall Front,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,PNL J - Wing Wall Toekicks,RECT_Param,193.67,101.6,19.05,R_W_O,0,PNL J - Wing Wall Toekicks,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,30” PNL’D Soffit,RECT_Param,393.7,762.0,19.05,R_W_O,0,30” PNL’D Soffit,RECTparamCLEAF.bSolid,0,0,0,0,0
7,biesse,bNest,48” PNL’D Soffit,RECT_Param,393.7,1219.2,19.05,R_W_O,0,48” PNL’D Soffit,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Concrete Column: Back,RECT_Param,2311.4,482.6,19.05,R_W_O,0,Concrete Column: Back,RECTparamCLEAF.bSolid,0,0,0,0,0
1,biesse,bNest,Concrete Column: Toekick,RECT_Param,482.6,101.6,19.05,R_W_O,0,Concrete Column: Toekick,RECTparamCLEAF.bSolid,0,0,0,0,0
4,biesse,bNest,DR,RECT_Param,755.65,473.07,19.05,R_W_O,0,DR,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Fillers,RECT_Param,758.82,50.8,19.05,R_W_O,0,Fillers,RECTparamCLEAF.bSolid,0,0,0,0,0
2,biesse,bNest,Ends,RECT_Param,758.82,447.67,19.05,R_W_O,0,Ends,RECTparamCLEAF.bSolid,0,0,0,0,0
