No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,FIXED PNL A - SCRIBE LF,1,"106 1/2""","15 5/16""",3/4”,"106 1/2""","15 5/16""",3/4”,,RIFT WHT OAK,FIXED PNL A - SCRIBE LF,228 GYM,,,,,
B,FIXED PNL B - SCRIBE RT,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT WHT OAK,FIXED PNL B - SCRIBE RT,228 GYM,,,,,
C,FIXED PNL C,1,"41 1/4""","71 1/4""",3/4”,"41 1/4""","71 1/4""",3/4”,,RIFT WHT OAK,FIXED PNL C,228 GYM,,,,,
D,FIXED PNL D - SCRIBE LF,1,"106 1/2""","3""",3/4”,"106 1/2""","3""",3/4”,,RIFT WHT OAK,FIXED PNL D - SCRIBE LF,228 GYM,,,,,
E,FIXED PNL E - SCRIBE RT,1,"106 1/2""","6 1/4""",3/4”,"106 1/2""","6 1/4""",3/4”,,RIFT WHT OAK,FIXED PNL E - SCRIBE RT,228 GYM,,,,,
F,FIXED PNL F - 1/4” REVEAL,1,"106 1/2""","44 31/32""",3/4”,"106 1/2""","44 31/32""",3/4”,,RIFT WHT OAK,FIXED PNL F - 1/4” REVEAL,228 GYM,,,,,
G,FIXED PNL F MITERED RETURN - SCRIBE RT,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT WHT OAK,FIXED PNL F MITERED RETURN - SCRIBE RT,228 GYM,,,,,
H,FIXED PNL G - 1/4” REVEAL,1,"106 1/2""","41 7/8""",3/4”,"106 1/2""","41 7/8""",3/4”,,RIFT WHT OAK,FIXED PNL G - 1/4” REVEAL,228 GYM,,,,,
I,FIXED PNL G MITERED RETURN - SCRIBE LF,1,"106 1/2""","6""",3/4”,"106 1/2""","6""",3/4”,,RIFT WHT OAK,FIXED PNL G MITERED RETURN - SCRIBE LF,228 GYM,,,,,
J,FIXED PNL H,1,"106 1/2""","11 5/8""",3/4”,"106 1/2""","11 5/8""",3/4”,,RIFT WHT OAK,FIXED PNL H,228 GYM,,,,,
K,FIXED PNL H RT. MITERED RETURN - SCRIBE RT,1,"106 1/2""","18 1/4""",3/4”,"106 1/2""","18 1/4""",3/4”,,RIFT WHT OAK,FIXED PNL H RT. MITERED RETURN - SCRIBE RT,228 GYM,,,,,
L,FIXED PNL H LF. MITERED RETURN - 1/4” REVEAL,1,"106 1/2""","25 3/8""",3/4”,"106 1/2""","25 3/8""",3/4”,,RIFT WHT OAK,FIXED PNL H LF. MITERED RETURN - 1/4” REVEAL,228 GYM,,,,,
