No.,Designation,Quantity,Length - raw,Width - raw,Thickness - raw,Length - final,Width - final,Thickness - final,Area - final,Material,Instance names,Description,Tags,Edge length 1,Edge length 2,Edge width 1,Edge width 2
A,BASE CAB END’s,8,"29""","23 1/2""",3/4”,"29""","23 1/2""",3/4”,,VICENZA OAK,BASE CAB END’s,228 GYM,,,,,
B,BASE CAB T/B’s (Hafele Waste Bins Cab),2,"22 21/32""","23 1/2""",3/4”,"22 21/32""","23 1/2""",3/4”,,VICENZA OAK,BASE CAB T/B’s (Hafele Waste Bins Cab),228 GYM,,,,,
C,BASE CAB T/B’s,6,"22 23/32""","23 1/2""",3/4”,"22 23/32""","23 1/2""",3/4”,,VICENZA OAK,BASE CAB T/B’s,228 GYM,,,,,
D,BASE CAB T/B’s ,3,"22 25/32""","23 1/2""",3/4”,"22 25/32""","23 1/2""",3/4”,,VICENZA OAK,BASE CAB T/B’s ,228 GYM,,,,,
E,BASE CAB T/B’s,1,"21 3/32""","23 1/2""",3/4”,"21 3/32""","23 1/2""",3/4”,,VICENZA OAK,BASE CAB T/B’s,228 GYM,,,,,
F,UPPER CAB END’s,10,"47 1/4""","14 3/8""",3/4”,"47 1/4""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB END’s,228 GYM,,,,,
G,UPPER CAB T/B’s,3,"22 21/32""","14 3/8""",3/4”,"22 21/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
H,UPPER CAB T/B’s,1,"22 21/32""","11 1/8""",3/4”,"22 21/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
I,UPPER CAB T/B’s,1,"22 21/32""","11 7/8""",3/4”,"22 21/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
J,UPPER CAB T/B’s,6,"22 23/32""","14 3/8""",3/4”,"22 23/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
K,UPPER CAB T/B’s,2,"22 23/32""","11 1/8""",3/4”,"22 23/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
L,UPPER CAB T/B’s,2,"22 23/32""","11 7/8""",3/4”,"22 23/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
M,UPPER CAB T/B’s,3,"22 25/32""","14 3/8""",3/4”,"22 25/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
N,UPPER CAB T/B’s,1,"22 25/32""","11 1/8""",3/4”,"22 25/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
O,UPPER CAB T/B’s,1,"22 25/32""","11 7/8""",3/4”,"22 25/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
P,UPPER CAB T/B’s,3,"22 19/32""","14 3/8""",3/4”,"22 19/32""","14 3/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
Q,UPPER CAB T/B’s,1,"22 19/32""","11 1/8""",3/4”,"22 19/32""","11 1/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
R,UPPER CAB T/B’s,1,"22 19/32""","11 7/8""",3/4”,"22 19/32""","11 7/8""",3/4”,,VICENZA OAK,UPPER CAB T/B’s,228 GYM,,,,,
